ts,sm_mhz,util,power_w,temp_c
2026/07/30 10:42:13.097, 2610, 0, 56.83, 42
2026/07/30 10:42:18.130, 2610, 6, 58.21, 42
2026/07/30 10:42:23.185, 2730, 55, 133.76, 46
2026/07/30 10:42:28.222, 2730, 5, 90.09, 44
2026/07/30 10:42:33.281, 2730, 56, 80.80, 44
2026/07/30 10:42:38.333, 2730, 31, 79.82, 43
2026/07/30 10:42:43.370, 2730, 5, 82.86, 43
2026/07/30 10:42:48.425, 2730, 54, 88.57, 44
2026/07/30 10:42:53.477, 2730, 54, 81.56, 43
2026/07/30 10:42:58.549, 2730, 53, 100.24, 44
2026/07/30 10:43:03.609, 2730, 31, 82.46, 43
2026/07/30 10:43:08.645, 2730, 58, 177.12, 49
2026/07/30 10:43:13.717, 2730, 59, 108.90, 47
2026/07/30 10:43:18.750, 2730, 20, 73.72, 43
2026/07/30 10:43:23.802, 2730, 53, 144.36, 48
2026/07/30 10:43:28.838, 2730, 28, 116.32, 46
2026/07/30 10:43:33.893, 2730, 51, 136.13, 48
2026/07/30 10:43:38.978, 2730, 64, 128.50, 49
2026/07/30 10:43:44.053, 2730, 61, 103.57, 46
2026/07/30 10:43:49.110, 2730, 53, 127.14, 47
2026/07/30 10:43:54.169, 2730, 61, 101.18, 46
2026/07/30 10:43:59.227, 2730, 61, 129.93, 49
2026/07/30 10:44:04.301, 2730, 57, 87.70, 45
2026/07/30 10:44:09.373, 2730, 63, 116.42, 46
2026/07/30 10:44:14.425, 2730, 63, 189.22, 51
2026/07/30 10:44:19.477, 2730, 55, 142.35, 48
2026/07/30 10:44:24.514, 2610, 12, 73.90, 45
2026/07/30 10:44:29.550, 2610, 0, 57.66, 43
2026/07/30 10:44:34.586, 2610, 0, 55.06, 43
2026/07/30 10:44:39.661, 2730, 55, 122.67, 49
2026/07/30 10:44:44.713, 2610, 0, 55.28, 43
2026/07/30 10:44:49.746, 2610, 0, 55.27, 42
2026/07/30 10:44:54.786, 2610, 0, 55.49, 42
2026/07/30 10:44:59.837, 2610, 32, 64.27, 44
2026/07/30 10:45:04.870, 2730, 0, 105.11, 45
2026/07/30 10:45:09.906, 2610, 0, 55.51, 42
2026/07/30 10:45:14.961, 2610, 0, 55.63, 42
2026/07/30 10:45:19.994, 2610, 0, 55.55, 42
2026/07/30 10:45:25.030, 2730, 30, 103.92, 45
2026/07/30 10:45:30.105, 2730, 41, 97.12, 45
2026/07/30 10:45:35.138, 2730, 55, 83.12, 44
2026/07/30 10:45:40.213, 2730, 57, 102.62, 45
2026/07/30 10:45:45.246, 2730, 0, 88.06, 43
2026/07/30 10:45:50.329, 2730, 4, 80.65, 43
2026/07/30 10:45:55.362, 2730, 31, 82.22, 44
2026/07/30 10:46:00.417, 2730, 53, 155.91, 47
2026/07/30 10:46:05.450, 2730, 22, 118.78, 44
2026/07/30 10:46:10.486, 2730, 64, 175.44, 48
2026/07/30 10:46:15.541, 2730, 67, 145.58, 48
2026/07/30 10:46:20.597, 2730, 67, 133.04, 48
2026/07/30 10:46:25.630, 2730, 14, 117.73, 45
2026/07/30 10:46:30.666, 2730, 65, 120.18, 48
2026/07/30 10:46:35.721, 2730, 57, 81.95, 44
2026/07/30 10:46:40.793, 2730, 59, 114.82, 47
2026/07/30 10:46:45.870, 2730, 58, 175.60, 49
2026/07/30 10:46:50.929, 2730, 55, 131.69, 49
2026/07/30 10:46:55.987, 2730, 74, 122.65, 53
2026/07/30 10:47:01.026, 2610, 0, 56.29, 43
2026/07/30 10:47:06.062, 2610, 0, 55.63, 43
2026/07/30 10:47:11.098, 2730, 0, 63.47, 43
2026/07/30 10:47:16.138, 2610, 0, 55.58, 43
2026/07/30 10:47:21.178, 2610, 0, 55.61, 42
2026/07/30 10:47:26.210, 2610, 0, 55.55, 42
2026/07/30 10:47:31.246, 2730, 53, 87.67, 46
2026/07/30 10:47:36.286, 2610, 0, 55.74, 42
2026/07/30 10:47:41.322, 2610, 0, 55.82, 42
2026/07/30 10:47:46.358, 2610, 0, 55.69, 42
2026/07/30 10:47:51.394, 2745, 58, 115.60, 45
2026/07/30 10:47:56.426, 2745, 1, 90.45, 43
2026/07/30 10:48:01.462, 2745, 33, 102.26, 45
2026/07/30 10:48:06.517, 2745, 55, 81.16, 43
2026/07/30 10:48:11.550, 2730, 6, 100.62, 43
2026/07/30 10:48:16.590, 2730, 74, 181.75, 50
